ccds_id	gene	GTR_average_10x	GTR_average_20x	GTR_average_30x
1	CCDS10.1	TNFRSF18	0.696555757493859	0.47830118011125	0.317249047274026
2	CCDS100.2	GPR157	0.80748403559047	0.693327083185929	0.588457274935765
3	CCDS1000.1	TUFT1	0.962144474043938	0.913823789093187	0.853847844454704
4	CCDS10001.1	BRF1	0.910831978213042	0.842317124485614	0.753057056780659
5	CCDS10002.2	BTBD6	0.814334297425438	0.761692419952804	0.662011049352135
6	CCDS10004.1	CRIP1	0.897475584511302	0.800950267332205	0.679926912282113
7	CCDS10006.1	TMEM121	0.45109351783062	0.280841768821195	0.185071121223377
8	CCDS1001.1	SNX27	0.857387662199819	0.81019164815178	0.7750397687003
9	CCDS10013.1	MKRN3	0.997434071205446	0.969469176679883	0.897385029230262
10	CCDS10014.1	NDN	0.80703272329024	0.671374658138977	0.526855509307541
11	CCDS10015.1	NPAP1	0.968122092498102	0.908686407392522	0.828162490908542
12	CCDS10016.1	SNURF	0.997972387320452	0.985093005338153	0.963396345825739
13	CCDS10017.1	SNRPN	0.848984954139009	0.828627519888872	0.771508840291107
14	CCDS10018.1	GABRB3	0.959294142356473	0.905465065004817	0.844548257795671
15	CCDS10019.1	GABRB3	0.939146933248082	0.890784383796978	0.835027680077245
16	CCDS1002.1	CELF3	0.894958463268476	0.814287073233474	0.74534890641906
17	CCDS10020.1	OCA2	0.962600822578831	0.898580145353358	0.812931648741016
18	CCDS10021.1	HERC2	0.956910283024811	0.920777382190795	0.867563088610626
19	CCDS10022.1	APBA2	0.989410269110125	0.950122337790989	0.848040779263663
20	CCDS10023.1	NSMCE3	0.83905114526749	0.772666634188326	0.720066337011496
21	CCDS10024.2	TRPM1	0.813721407847386	0.800028856165686	0.775241965665336
22	CCDS10027.1	CHRNA7	0.365736241294191	0.335952585625423	0.310417829821469
23	CCDS10028.1	ARHGAP11A	0.944669922842372	0.910380196724866	0.853609218285655
24	CCDS10029.1	GREM1	0.983501331941151	0.914618556149018	0.804819752888106
25	CCDS10031.1	CHRM5	0.997778375600648	0.976818488895821	0.940332553685569
26	CCDS10033.1	PGBD4	0.988085035169298	0.952802260775191	0.906040862657994
